received_at,raw_frame,sequence,tx_timestamp,parse_status
2026-09-25T16:02:51.292+08:00,"#0001,1790323374.19",1,1790323374.19,valid
2026-09-25T16:02:51.791+08:00,"#0002,1790323374.69",2,1790323374.69,valid
2026-09-25T16:02:52.291+08:00,"#0003,1790323375.19",3,1790323375.19,valid
2026-09-25T16:02:52.791+08:00,"#0004,1790323375.69",4,1790323375.69,valid
2026-09-25T16:02:53.291+08:00,"#0005,1790323376.19",5,1790323376.19,valid
2026-09-25T16:02:53.791+08:00,"#0006,1790323376.69",6,1790323376.69,valid
2026-09-25T16:02:54.291+08:00,"#0007,1790323377.19",7,1790323377.19,valid
2026-09-25T16:02:54.791+08:00,"#0008,1790323377.69",8,1790323377.69,valid
2026-09-25T16:02:55.291+08:00,"#0009,1790323378.19",9,1790323378.19,valid
2026-09-25T16:02:55.791+08:00,"#0010,1790323378.69",10,1790323378.69,valid
2026-09-25T16:02:56.291+08:00,"#0011,1790323379.19",11,1790323379.19,valid
2026-09-25T16:02:56.792+08:00,"#0012,1790323379.69",12,1790323379.69,valid
2026-09-25T16:02:57.291+08:00,"#0013,1790323380.19",13,1790323380.19,valid
2026-09-25T16:02:57.792+08:00,"#0014,1790323380.69",14,1790323380.69,valid
2026-09-25T16:02:58.292+08:00,"#0015,1790323381.19",15,1790323381.19,valid
2026-09-25T16:02:58.791+08:00,"#0016,1790323381.69",16,1790323381.69,valid
2026-09-25T16:02:59.291+08:00,"#0017,1790323382.19",17,1790323382.19,valid
2026-09-25T16:02:59.792+08:00,"#0018,1790323382.69",18,1790323382.69,valid
2026-09-25T16:03:00.292+08:00,"#0019,1790323383.19",19,1790323383.19,valid
2026-09-25T16:03:00.791+08:00,"#0020,1790323383.69",20,1790323383.69,valid
2026-09-25T16:03:01.291+08:00,"#0021,1790323384.19",21,1790323384.19,valid
2026-09-25T16:03:01.792+08:00,"#0022,1790323384.69",22,1790323384.69,valid
2026-09-25T16:03:02.293+08:00,"#0023,1790323385.19",23,1790323385.19,valid
2026-09-25T16:03:02.791+08:00,"#0024,1790323385.69",24,1790323385.69,valid
2026-09-25T16:03:03.291+08:00,"#0025,1790323386.19",25,1790323386.19,valid
2026-09-25T16:03:03.791+08:00,"#0026,1790323386.69",26,1790323386.69,valid
2026-09-25T16:03:04.291+08:00,"#0027,1790323387.19",27,1790323387.19,valid
2026-09-25T16:03:04.792+08:00,"#0028,1790323387.69",28,1790323387.69,valid
2026-09-25T16:03:05.293+08:00,"#0029,1790323388.19",29,1790323388.19,valid
2026-09-25T16:03:05.792+08:00,"#0030,1790323388.69",30,1790323388.69,valid
2026-09-25T16:03:06.292+08:00,"#0031,1790323389.19",31,1790323389.19,valid
2026-09-25T16:03:06.792+08:00,"#0032,1790323389.69",32,1790323389.69,valid
2026-09-25T16:03:07.292+08:00,"#0033,1790323390.19",33,1790323390.19,valid
2026-09-25T16:03:07.792+08:00,"#0034,1790323390.69",34,1790323390.69,valid
2026-09-25T16:03:08.292+08:00,"#0035,1790323391.19",35,1790323391.19,valid
2026-09-25T16:03:08.792+08:00,"#0036,1790323391.69",36,1790323391.69,valid
2026-09-25T16:03:09.292+08:00,"#0037,1790323392.19",37,1790323392.19,valid
2026-09-25T16:03:09.792+08:00,"#0038,1790323392.69",38,1790323392.69,valid
2026-09-25T16:03:10.293+08:00,"#0039,1790323393.19",39,1790323393.19,valid
2026-09-25T16:03:10.792+08:00,"#0040,1790323393.69",40,1790323393.69,valid
2026-09-25T16:03:11.292+08:00,"#0041,1790323394.19",41,1790323394.19,valid
2026-09-25T16:03:11.791+08:00,"#0042,1790323394.69",42,1790323394.69,valid
2026-09-25T16:03:12.291+08:00,"#0043,1790323395.19",43,1790323395.19,valid
2026-09-25T16:03:12.791+08:00,"#0044,1790323395.69",44,1790323395.69,valid
2026-09-25T16:03:13.291+08:00,"#0045,1790323396.19",45,1790323396.19,valid
2026-09-25T16:03:13.791+08:00,"#0046,1790323396.69",46,1790323396.69,valid
2026-09-25T16:03:14.292+08:00,"#0047,1790323397.19",47,1790323397.19,valid
2026-09-25T16:03:14.792+08:00,"#0048,1790323397.69",48,1790323397.69,valid
2026-09-25T16:03:15.292+08:00,"#0049,1790323398.19",49,1790323398.19,valid
2026-09-25T16:03:15.792+08:00,"#0050,1790323398.69",50,1790323398.69,valid
2026-09-25T16:03:16.293+08:00,"#0051,1790323399.19",51,1790323399.19,valid
2026-09-25T16:03:16.792+08:00,"#0052,1790323399.69",52,1790323399.69,valid
2026-09-25T16:03:17.292+08:00,"#0053,1790323400.19",53,1790323400.19,valid
2026-09-25T16:03:17.791+08:00,"#0054,1790323400.69",54,1790323400.69,valid
2026-09-25T16:03:18.292+08:00,"#0055,1790323401.19",55,1790323401.19,valid
2026-09-25T16:03:18.792+08:00,"#0056,1790323401.69",56,1790323401.69,valid
