pc_time,seq,pico_time,CH4_ppm,H2O_ppm,C2H6_ppb
2026-09-25T20:30:26.401740,0,09/25/2026 20:30:29.079,2.51669,19702.3,7.2948
2026-09-25T20:30:28.430018,1,09/25/2026 20:30:30.072,30.337,2.51159,19702.5
2026-09-25T20:30:29.355320,2,09/25/2026 20:30:32.059,2.5151,19694.3,7.05381
2026-09-25T20:30:30.402603,3,09/25/2026 20:30:33.052,2.51346,19704.5,7.01119
2026-09-25T20:30:31.441734,4,09/25/2026 20:30:34.045,2.51227,19719.8,7.00727
2026-09-25T20:30:32.387938,5,09/25/2026 20:30:35.039,2.51335,19721.4,6.71081
2026-09-25T20:30:33.408037,6,09/25/2026 20:30:36.032,2.5166,19737.1,6.97168
2026-09-25T20:30:34.370750,7,09/25/2026 20:30:37.025,2.5149,19727,6.89011
2026-09-25T20:30:35.345038,8,09/25/2026 20:30:38.018,2.51263,19736.4,7.00062
2026-09-25T20:30:36.372955,9,09/25/2026 20:30:39.012,2.51783,19749.8,7.06999
2026-09-25T20:30:38.314257,10,09/25/2026 20:30:40.005,30.3334,2.51855,19757.7
2026-09-25T20:30:39.351445,11,09/25/2026 20:30:41.991,2.51315,19769.5,7.10281
2026-09-25T20:30:40.356128,12,09/25/2026 20:30:42.985,2.51758,19760.7,6.98143
2026-09-25T20:30:41.296990,13,09/25/2026 20:30:43.978,2.51913,19777.8,6.64886
2026-09-25T20:30:42.314340,14,09/25/2026 20:30:44.971,2.5213,19769,6.95919
2026-09-25T20:30:43.325900,15,09/25/2026 20:30:45.965,2.51984,19784.6,7.28197
2026-09-25T20:30:44.337074,16,09/25/2026 20:30:46.958,2.51588,19768.8,7.3974
2026-09-25T20:30:45.331636,17,09/25/2026 20:30:47.951,2.51883,19790.9,7.02368
2026-09-25T20:30:46.255517,18,09/25/2026 20:30:48.944,2.51836,19774.6,6.91966
2026-09-25T20:30:48.293702,19,09/25/2026 20:30:49.938,33.9277,30.3303,2.52067
2026-09-25T20:30:49.256452,20,09/25/2026 20:30:51.924,2.51614,19784.8,7.01552
2026-09-25T20:30:50.283705,21,09/25/2026 20:30:52.918,2.51968,19779.5,6.41748
2026-09-25T20:30:51.293338,22,09/25/2026 20:30:53.911,2.51719,19797.4,6.61311
2026-09-25T20:30:52.281660,23,09/25/2026 20:30:54.904,2.52366,19773.2,7.05652
2026-09-25T20:30:53.276459,24,09/25/2026 20:30:55.897,2.52364,19779.6,7.06236
2026-09-25T20:30:54.223393,25,09/25/2026 20:30:56.891,2.51884,19774.2,7.42221
2026-09-25T20:30:55.244461,26,09/25/2026 20:30:57.884,2.51991,19782.8,6.67501
2026-09-25T20:30:56.210324,27,09/25/2026 20:30:58.877,2.52246,19766.4,7.14892
2026-09-25T20:30:58.230997,28,09/25/2026 20:30:59.871,34.0254,30.3262,2.51751
2026-09-25T20:30:59.165409,29,09/25/2026 20:31:01.857,2.51867,19759.1,6.44706
2026-09-25T20:31:00.205417,30,09/25/2026 20:31:02.850,2.52175,19743,7.1141
2026-09-25T20:31:01.228863,31,09/25/2026 20:31:03.844,2.52235,19728.2,7.11798
2026-09-25T20:31:02.214687,32,09/25/2026 20:31:04.837,2.52315,19700.3,6.89221
2026-09-25T20:31:03.147688,33,09/25/2026 20:31:05.830,2.52098,19694.1,7.09797
2026-09-25T20:31:04.148774,34,09/25/2026 20:31:06.823,2.5208,19678.4,6.41777
2026-09-25T20:31:05.195753,35,09/25/2026 20:31:07.817,2.52203,19652.7,6.78814
2026-09-25T20:31:06.147180,36,09/25/2026 20:31:08.810,2.52155,19644.5,7.11175
2026-09-25T20:31:08.188471,37,09/25/2026 20:31:09.803,34.1231,30.323,2.52099
2026-09-25T20:31:09.210290,38,09/25/2026 20:31:11.790,2.52552,19603.4,7.53919
2026-09-25T20:31:10.122760,39,09/25/2026 20:31:12.783,2.52507,19606.5,6.71497
2026-09-25T20:31:11.115613,40,09/25/2026 20:31:13.776,2.52708,19593.1,6.89857
2026-09-25T20:31:12.128909,41,09/25/2026 20:31:14.770,2.52398,19597.5,7.12299
2026-09-25T20:31:13.077209,42,09/25/2026 20:31:15.763,2.52604,19590.5,6.82641
2026-09-25T20:31:14.105400,43,09/25/2026 20:31:16.756,2.5231,19618,6.67415
2026-09-25T20:31:15.133397,44,09/25/2026 20:31:17.750,2.5261,19603,6.44057
2026-09-25T20:31:16.062446,45,09/25/2026 20:31:18.743,2.5225,19618.3,6.79905
2026-09-25T20:31:18.113680,46,09/25/2026 20:31:19.736,30.3204,34.2208,30.3204
2026-09-25T20:31:19.131861,47,09/25/2026 20:31:21.723,2.52403,19616.9,6.91796
2026-09-25T20:31:20.061329,48,09/25/2026 20:31:22.716,2.52387,19625.1,6.4341
2026-09-25T20:31:21.100820,49,09/25/2026 20:31:23.709,2.52387,19632.4,7.34812
2026-09-25T20:31:22.041335,50,09/25/2026 20:31:24.703,2.52221,19638.3,7.04087
2026-09-25T20:31:23.074231,51,09/25/2026 20:31:25.696,2.52798,19647.1,7.26477
2026-09-25T20:31:24.035857,52,09/25/2026 20:31:26.689,2.52971,19615.9,6.80521
2026-09-25T20:31:25.065856,53,09/25/2026 20:31:27.682,2.52558,19645.3,7.76916
2026-09-25T20:31:26.004581,54,09/25/2026 20:31:28.676,2.52266,19646.9,6.98437
2026-09-25T20:31:27.018039,55,09/25/2026 20:31:29.669,2.5205,19665.8,6.5764
2026-09-25T20:31:29.046490,56,09/25/2026 20:31:31.655,2.5233,19670.1,6.92943
2026-09-25T20:31:29.980308,57,09/25/2026 20:31:32.649,2.52529,19679.8,6.66654
2026-09-25T20:31:30.997980,58,09/25/2026 20:31:33.642,2.52403,19677.4,6.48162
2026-09-25T20:31:31.993473,59,09/25/2026 20:31:34.635,2.52991,19682.1,7.27616
2026-09-25T20:31:32.992108,60,09/25/2026 20:31:35.629,2.52342,19692.9,6.82597
2026-09-25T20:31:33.986527,61,09/25/2026 20:31:36.622,2.53004,19676.3,6.38319
2026-09-25T20:31:34.980911,62,09/25/2026 20:31:37.615,2.52741,19684.2,6.51013
2026-09-25T20:31:36.008489,63,09/25/2026 20:31:38.608,2.53036,19668.1,7.30778
2026-09-25T20:31:36.937989,64,09/25/2026 20:31:39.602,2.52748,19640.9,6.79037
2026-09-25T20:31:38.989962,65,09/25/2026 20:31:40.595,30.3142,34.3185,30.3142
2026-09-25T20:31:39.902379,66,09/25/2026 20:31:42.582,2.53362,19618.7,6.57604
2026-09-25T20:31:40.936979,67,09/25/2026 20:31:43.575,2.52876,19630.8,6.405
2026-09-25T20:31:41.966747,68,09/25/2026 20:31:44.568,2.52848,19631.7,7.15147
2026-09-25T20:31:42.885640,69,09/25/2026 20:31:45.561,2.52862,19628,6.91599
2026-09-25T20:31:43.876518,70,09/25/2026 20:31:46.555,2.52661,19626.3,6.78086
2026-09-25T20:31:44.915813,71,09/25/2026 20:31:47.548,2.52707,19637.6,6.69147
2026-09-25T20:31:45.914070,72,09/25/2026 20:31:48.541,2.53094,19636.2,7.19353
